id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden,hospitals
bf38ce5b,FOSCA/FCV,Cruce Entrada 3 FCV,Calle 27(calle155)No. 23-58,7.072944,-73.110028,CRUCE,alto,,,,12,36,FCV CLIN FOSCAL
5c81f8e0,FOSCA/FCV,Cruce entrada 3 FCV (rampa desfasada de la cebra),Calle 27(calle155)No. 23-58,7.072944,-73.110083,CRUCE,medio,,,,12,37,FCV CLIN FOSCAL
dfaa65b4,FOSCA/FCV,Cruce Entrada NUEVA EPSE frente a FCV,Calle 27(calle155)No. 23-60,7.073028,-73.110028,CRUCE,alto,,,,12,38,FCV CLIN FOSCAL
05118e41,FOSCA/FCV,Anden desde FCV hasta esq cra 23,Calle 27/Cra24 a Cra 23,7.072944,-73.110389,VIA CIRCULACION,alto,,,,12,39,FCV CLIN FOSCAL
4113bcf5,FOSCA/FCV,Anden desde esquina FOSCAL en cra 24 hasta esquina CLIN FOSCAL en cra 23,Calle 27/Cra24 a Cra 23,7.073028,-73.110222,VIA CIRCULACION,medio,,,,12,40,FCV CLIN FOSCAL
be381a08,FOSCA/FCV,Cruce esquina CLIN FOSCAL por calle 27,Calle 27(calle155)/ Cra 23 Cruce esquina clínica Foscal,7.073038,-73.110508,CRUCE,alto,,,,12,41,FCV CLIN FOSCAL
96e73392,FOSCA/FCV,Cruce esquina opuesta a CLIN FOSCAL por calle 27,Calle 27(calle155)/ Cra 23 Cruce esquina clínica Foscal,7.072972,-73.1105,CRUCE,alto,,,,12,42,FCV CLIN FOSCAL
314b6690,FOSCA/FCV,Cruce Esq CLIN FOSCAL frente a Construcción,Cra 23/Calle27(calle155),7.073062,-73.110498,CRUCE,alto,,,,12,43,CLIN FOSCAL
8eefbfa1,FOSCA/FCV,Cruce Anden Construccion frente a CLIN FOSCAL,Cra 23/Calle27(calle155),7.073063,-73.110582,CRUCE,alto,,,,12,44,CLIN FOSCAL
d7cd7616,FOSCA/FCV,Anden cra 23 entre calle 27 y transversal 154 de Urgencias CLIN FOSCAL,Cra 23/Entre calle 27 y Transversal 154,7.073583,-73.1105,VIA CIRCULACION,medio,No cuenta con señalizacon podotactil,,,12,45,CLIN FOSCAL
d417e470,FOSCA/FCV,Acceso Vehicular junto Entrada urgencias CLIN FOSCAL,Cra 23 No. 154-6,7.073814,-73.110467,CRUCE,alto,,,,12,46,CLIN FOSCAL
7709be67,FOSCA/FCV,Anden cra 23 entre calle 27 y transversal 154 Construcción en frente clínica Foscal,Cra 23/Entre calle 27 y Transversal 154,7.073528,-73.110556,VIA CIRCULACION,medio,No cuenta con señalizacon podotactil,,,12,47,CLIN FOSCAL
4c1dc179,FOSCA/FCV,Cruce Esquina Urgencias FOSCAL,Cra 23/Transversal 154,7.073929,-73.110481,CRUCE,medio,,,,12,48,CLIN FOSCAL
3618b41e,FOSCA/FCV,Cruce esquina opuesta Urgencias FOSCAL,Cra 23/Transversal 154,7.073879,-73.110543,CRUCE,alto,,,,12,49,CLIN FOSCAL
c154e0cd,FOSCA/FCV,Cruce sobre Trans 154 esquina CLIN FOSCAL,Transversal 154/Cra 23,7.073985,-73.110436,CRUCE,medio,,,,12,50,CLIN FOSCAL
77d4696b,FOSCA/FCV,Cruce Esquina planta electrica frente a FOSCAL sobre transv154,Transversal 154/Cra 23,7.074185,-73.110462,CRUCE,alto,,,,12,51,CLIN FOSCAL
1647eacb,FOSCA/FCV,Anden Entrada al CM ARDILA LULE por la transversal 154,Transversal 154 entre Cra 23 y 26,7.074139,-73.11025,VIA CIRCULACION,medio,Ancho insuficiente,,,12,52,CLIN FOSCAL
2d884b8b,FOSCA/FCV,Cruce en la mitad de transversal 154 entre aceras par e impar frente a VISTA AZUL,Travs 154 # 150-221,7.07444,-73.109953,CRUCE,medio,,,,12,53,CLIN FOSCAL
65d1d3f2,FOSCA/FCV,Rampa acceso CM ARILA LULE,Transversal 154/Cra 23,7.07435,-73.109946,RAMPA,alto,,,,12,54,CLIN FOSCAL
"a0b85bb5,FOSCA/FCV,""Cruce esquina en transversal 154 sobre cra 26, hacia CC METRO (conecta tramo 8)"",Transversal 154/Cra 26,7.074552,-73.109627,CRUCE,medio,,,,12,55,CLIN FOSCAL"
